Datum;Inhaber;Betreff;Betrag
18.12.2019;Walt Disney;Disney+;-17,99 EUR
20.12.2019;BP;Giro Card Transaktion: 998702111;-68,14 EUR
20.12.2019;Aral;Giro Card Transaktion: 539024120;-48,69 EUR
20.12.2019;Saturn;Buchungsnr: 3074894;-88,53 EUR
24.12.2019;Reformhaus;Rechnungsnr: 6308351;-137,31 EUR
25.12.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
27.12.2019;Apollo;Apollo Eintritt Giro Card Transaktion: 614669740;-21,1 EUR
29.12.2019;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 4719143;-24,9 EUR
31.12.2019;Netto;Rechnungsnr: 7200198;-82,42 EUR
31.12.2019;Paypal;Buchungsnr: 7438777;-136,15 EUR
01.01.2020;Mietskaserne am R�benacker;Miete f�r Monat: January;-750 EUR
01.01.2020;Norddeutscher Rundfunk;Rundfunkbeitrag f�r January;-18,36 EUR
02.01.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.01.2020;VHV;Privathaftpflicht;-4,5 EUR
03.01.2020;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.01.2020;Saturn;Buchungsnr: 9564630;-68,37 EUR
05.01.2020;BP;Giro Card Transaktion: 480945956;-77,64 EUR
06.01.2020;Reformhaus;Rechnungsnr: 2988326;-164,24 EUR
09.01.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.01.2020;Netflix ltd.;Netflix;-17,99 EUR
11.01.2020;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r January;-19,99 EUR
14.01.2020;NOVA;Gehalt f�r Monat: January;2000 EUR
16.01.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.01.2020;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.01.2020;GOP Variet�;GOP Variet� Eintritt Giro Card Transaktion: 590041864;-65,2 EUR
17.01.2020;Saturn;Buchungsnr: 4345727;-84,67 EUR
18.01.2020;Walt Disney;Disney+;-17,99 EUR
19.01.2020;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 3510343;-7,61 EUR
19.01.2020;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 4738060;-11,34 EUR
20.01.2020;Netto;Rechnungsnr: 5877228;-59,76 EUR
20.01.2020;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 7027644;-24,9 EUR
23.01.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
24.01.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 895119362;-5,9 EUR
24.01.2020;Otto;Buchungsnr: 5765789;-109,95 EUR
30.01.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
31.01.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 446096201;-5,9 EUR
01.02.2020;Mietskaserne am R�benacker;Miete f�r Monat: February;-750 EUR
01.02.2020;Reformhaus;Rechnungsnr: 1653264;-82,7 EUR
01.02.2020;Norddeutscher Rundfunk;Rundfunkbeitrag f�r February;-18,36 EUR
02.02.2020;VHV;Privathaftpflicht;-4,5 EUR
03.02.2020;Reformhaus;Rechnungsnr: 7409724;-82,59 EUR
03.02.2020;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.02.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
03.02.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 485706425;-5,9 EUR
05.02.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 537494864;-5,9 EUR
06.02.2020;Aldi;Rechnungsnr: 4297692;-135,45 EUR
10.02.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.02.2020;Netflix ltd.;Netflix;-17,99 EUR
10.02.2020;Kleines Theater;Kleines Theater Eintritt Giro Card Transaktion: 357156042;-20,9 EUR
11.02.2020;Reformhaus;Rechnungsnr: 5412218;-79,04 EUR
11.02.2020;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r February;-19,99 EUR
14.02.2020;NOVA;Gehalt f�r Monat: February;2000 EUR
14.02.2020;Denns;Rechnungsnr: 9030628;-69,21 EUR
16.02.2020;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.02.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.02.2020;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 5030394;-5,98 EUR
18.02.2020;Walt Disney;Disney+;-17,99 EUR
23.02.2020;Saturn;Buchungsnr: 4569559;-391,0 EUR
24.02.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.02.2020;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 8566671;-24,9 EUR
25.02.2020;Aral;Giro Card Transaktion: 342676387;-75,09 EUR
29.02.2020;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 5532926;-11,47 EUR
01.03.2020;Mietskaserne am R�benacker;Miete f�r Monat: March;-750 EUR
01.03.2020;Norddeutscher Rundfunk;Rundfunkbeitrag f�r March;-18,36 EUR
02.03.2020;VHV;Privathaftpflicht;-4,5 EUR
03.03.2020;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.03.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
06.03.2020;Reformhaus;Rechnungsnr: 1668327;-152,74 EUR
07.03.2020;Amazon;Buchungsnr: 4931057;-145,29 EUR
08.03.2020;Aral;Giro Card Transaktion: 116936846;-70,54 EUR
10.03.2020;Netflix ltd.;Netflix;-17,99 EUR
11.03.2020;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r March;-19,99 EUR
11.03.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
11.03.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 121916249;-5,9 EUR
12.03.2020;Bok;Bis zum n�chsten Mal! Bok Rechnungsnummer: 8890;-19,3 EUR
14.03.2020;NOVA;Gehalt f�r Monat: March;2000 EUR
16.03.2020;NP;Rechnungsnr: 3338174;-310,26 EUR
16.03.2020;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.03.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.03.2020;Walt Disney;Disney+;-17,99 EUR
21.03.2020;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 4063469;-9,98 EUR
25.03.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
26.03.2020;Paypal;Buchungsnr: 5320279;-207,71 EUR
27.03.2020;Schauspielhaus;Schauspielhaus Eintritt Giro Card Transaktion: 371700158;-63,7 EUR
31.03.2020;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 9185070;-24,9 EUR
01.04.2020;Mietskaserne am R�benacker;Miete f�r Monat: April;-750 EUR
01.04.2020;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 5130096;-24,9 EUR
01.04.2020;Norddeutscher Rundfunk;Rundfunkbeitrag f�r April;-18,36 EUR
02.04.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.04.2020;VHV;Privathaftpflicht;-4,5 EUR
03.04.2020;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.04.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 453409401;-5,9 EUR
05.04.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 7103226;-7,28 EUR
06.04.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 633604630;-5,9 EUR
08.04.2020;Jet;Giro Card Transaktion: 128788872;-31,57 EUR
09.04.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.04.2020;Netflix ltd.;Netflix;-17,99 EUR
11.04.2020;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r April;-19,99 EUR
13.04.2020;Rewe;Rechnungsnr: 8605560;-245,84 EUR
14.04.2020;NOVA;Gehalt f�r Monat: April;2000 EUR
14.04.2020;Saturn;Buchungsnr: 8143118;-106,0 EUR
16.04.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.04.2020;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.04.2020;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 6377642;-10,97 EUR
18.04.2020;Walt Disney;Disney+;-17,99 EUR
19.04.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 4057945;-5,45 EUR
20.04.2020;Apollo;Apollo Eintritt Giro Card Transaktion: 369828801;-18,3 EUR
22.04.2020;Penny;Rechnungsnr: 2122273;-99,0 EUR
23.04.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
24.04.2020;Netto;Rechnungsnr: 1852938;-122,16 EUR
30.04.2020;BK;Ihre Bestellung bei BK Rechnungsnummer: 6388845;-11,47 EUR
01.05.2020;Mietskaserne am R�benacker;Miete f�r Monat: May;-750 EUR
01.05.2020;Norddeutscher Rundfunk;Rundfunkbeitrag f�r May;-18,36 EUR
02.05.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.05.2020;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 8122773;-9,78 EUR
02.05.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 548154436;-5,9 EUR
02.05.2020;VHV;Privathaftpflicht;-4,5 EUR
03.05.2020;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.05.2020;Astor;Astor Eintritt Giro Card Transaktion: 461500028;-15,2 EUR
08.05.2020;Lidl;Rechnungsnr: 2045246;-187,66 EUR
08.05.2020;Amazon;Buchungsnr: 1599672;-73,85 EUR
09.05.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.05.2020;Netflix ltd.;Netflix;-17,99 EUR
10.05.2020;Schauspielhaus;Schauspielhaus Eintritt Giro Card Transaktion: 129090318;-33,1 EUR
11.05.2020;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r May;-19,99 EUR
13.05.2020;BK;Ihre Bestellung bei BK Rechnungsnummer: 7675561;-10,72 EUR
14.05.2020;NOVA;Gehalt f�r Monat: May;2000 EUR
15.05.2020;Otto;Buchungsnr: 8708344;-75,77 EUR
16.05.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.05.2020;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.05.2020;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 7316373;-24,9 EUR
17.05.2020;Otto;Buchungsnr: 8911174;-137,75 EUR
18.05.2020;Walt Disney;Disney+;-17,99 EUR
20.05.2020;Netto;Rechnungsnr: 6304330;-78,84 EUR
23.05.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
24.05.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 1282339;-5,91 EUR
28.05.2020;Edeka;Rechnungsnr: 8600626;-88,27 EUR
28.05.2020;NP;Rechnungsnr: 2888158;-101,22 EUR
28.05.2020;Otto;Buchungsnr: 8303028;-82,63 EUR
30.05.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.06.2020;Mietskaserne am R�benacker;Miete f�r Monat: June;-750 EUR
01.06.2020;Norddeutscher Rundfunk;Rundfunkbeitrag f�r June;-18,36 EUR
01.06.2020;Saturn;Buchungsnr: 5296262;-57,22 EUR
02.06.2020;VHV;Privathaftpflicht;-4,5 EUR
03.06.2020;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.06.2020;Otto;Buchungsnr: 8029936;-47,28 EUR
04.06.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
04.06.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 5453986;-7,49 EUR
07.06.2020;Aldi;Rechnungsnr: 8501336;-401,0 EUR
09.06.2020;Jet;Giro Card Transaktion: 600191858;-88,61 EUR
10.06.2020;Netflix ltd.;Netflix;-17,99 EUR
11.06.2020;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r June;-19,99 EUR
11.06.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
11.06.2020;Paypal;Buchungsnr: 5741703;-84,44 EUR
13.06.2020;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 4135778;-24,9 EUR
14.06.2020;NOVA;Gehalt f�r Monat: June;2000 EUR
16.06.2020;Pizzaria Mario;Bis zum n�chsten Mal! Pizzaria Mario Rechnungsnummer: 8507;-11,0 EUR
16.06.2020;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.06.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.06.2020;Walt Disney;Disney+;-17,99 EUR
21.06.2020;BK;Ihre Bestellung bei BK Rechnungsnummer: 8239624;-10,29 EUR
21.06.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 366892926;-5,9 EUR
25.06.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
27.06.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 219322786;-5,9 EUR
30.06.2020;Otto;Buchungsnr: 2047528;-47,06 EUR
01.07.2020;Mietskaserne am R�benacker;Miete f�r Monat: July;-750 EUR
01.07.2020;Norddeutscher Rundfunk;Rundfunkbeitrag f�r July;-18,36 EUR
02.07.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.07.2020;VHV;Privathaftpflicht;-4,5 EUR
03.07.2020;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.07.2020;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 9231298;-10,37 EUR
05.07.2020;Paypal;Buchungsnr: 7414150;-63,13 EUR
06.07.2020;Otto;Buchungsnr: 3590730;-112,3 EUR
09.07.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
09.07.2020;Otto;Buchungsnr: 6464363;-74,66 EUR
10.07.2020;Netflix ltd.;Netflix;-17,99 EUR
11.07.2020;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r July;-19,99 EUR
14.07.2020;NOVA;Gehalt f�r Monat: July;2000 EUR
16.07.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.07.2020;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.07.2020;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 3320848;-24,9 EUR
18.07.2020;Walt Disney;Disney+;-17,99 EUR
23.07.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
28.07.2020;Penny;Rechnungsnr: 8719751;-414,0 EUR
28.07.2020;Paypal;Buchungsnr: 2873316;-80,91 EUR
30.07.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
30.07.2020;Schauspielhaus;Schauspielhaus Eintritt Giro Card Transaktion: 320135684;-36,7 EUR
01.08.2020;Mietskaserne am R�benacker;Miete f�r Monat: August;-750 EUR
01.08.2020;Norddeutscher Rundfunk;Rundfunkbeitrag f�r August;-18,36 EUR
02.08.2020;VHV;Privathaftpflicht;-4,5 EUR
03.08.2020;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.08.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
03.08.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 680940890;-5,9 EUR
04.08.2020;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 5471211;-9,84 EUR
06.08.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 6272481;-8,68 EUR
08.08.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 881866608;-5,9 EUR
10.08.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.08.2020;BK;Ihre Bestellung bei BK Rechnungsnummer: 4721550;-11,23 EUR
10.08.2020;Netflix ltd.;Netflix;-17,99 EUR
11.08.2020;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r August;-19,99 EUR
13.08.2020;Bok;Bis zum n�chsten Mal! Bok Rechnungsnummer: 1631;-16,3 EUR
14.08.2020;NOVA;Gehalt f�r Monat: August;2000 EUR
14.08.2020;Apollo;Apollo Eintritt Giro Card Transaktion: 234253041;-14,0 EUR
15.08.2020;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 2350658;-9,73 EUR
16.08.2020;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.08.2020;NP;Rechnungsnr: 3493536;-103,54 EUR
17.08.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.08.2020;Walt Disney;Disney+;-17,99 EUR
19.08.2020;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 4992028;-5,73 EUR
22.08.2020;Amazon;Buchungsnr: 1382238;-176,8 EUR
23.08.2020;Lidl;Rechnungsnr: 8255989;-254,45 EUR
24.08.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
24.08.2020;Kleines Theater;Kleines Theater Eintritt Giro Card Transaktion: 385687367;-67,2 EUR
26.08.2020;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 9485147;-24,9 EUR
27.08.2020;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 4343610;-8,49 EUR
27.08.2020;Jet;Giro Card Transaktion: 325180499;-46,71 EUR
27.08.2020;Otto;Buchungsnr: 8166852;-77,2 EUR
31.08.2020;Shell;Giro Card Transaktion: 942278550;-64,42 EUR
01.09.2020;Mietskaserne am R�benacker;Miete f�r Monat: September;-750 EUR
01.09.2020;VHV;Abbuchung Ihrer Vollkasko Versicherung f�r das KFZ mit dem Kennzeichen: ABC - 1234;-546 EUR
01.09.2020;Norddeutscher Rundfunk;Rundfunkbeitrag f�r September;-18,36 EUR
02.09.2020;VHV;Privathaftpflicht;-4,5 EUR
03.09.2020;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.09.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
06.09.2020;Paypal;Buchungsnr: 1696872;-98,91 EUR
09.09.2020;Denns;Rechnungsnr: 6755602;-185,8 EUR
10.09.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.09.2020;Netflix ltd.;Netflix;-17,99 EUR
11.09.2020;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r September;-19,99 EUR
11.09.2020;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 3861655;-9,6 EUR
12.09.2020;Shell;Giro Card Transaktion: 776606905;-52,12 EUR
14.09.2020;NOVA;Gehalt f�r Monat: September;2000 EUR
14.09.2020;Paypal;Buchungsnr: 7427315;-207,09 EUR
16.09.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 630155292;-5,9 EUR
16.09.2020;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.09.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.09.2020;Walt Disney;Disney+;-17,99 EUR
20.09.2020;GOP Variet�;GOP Variet� Eintritt Giro Card Transaktion: 244031578;-30,5 EUR
24.09.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.09.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 983985183;-5,9 EUR
27.09.2020;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 4800568;-24,9 EUR
27.09.2020;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 4963927;-10,04 EUR
27.09.2020;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 2528054;-10,23 EUR
27.09.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 684420106;-5,9 EUR
29.09.2020;NP;Rechnungsnr: 7694048;-281,2 EUR
30.09.2020;Cinemaxx;Cinemaxx Eintritt Giro Card Transaktion: 643644574;-18,2 EUR
01.10.2020;Mietskaserne am R�benacker;Miete f�r Monat: October;-750 EUR
01.10.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.10.2020;Norddeutscher Rundfunk;Rundfunkbeitrag f�r October;-18,36 EUR
02.10.2020;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 5374989;-11,28 EUR
02.10.2020;VHV;Privathaftpflicht;-4,5 EUR
03.10.2020;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.10.2020;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 1207880;-24,9 EUR
08.10.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
08.10.2020;Paypal;Buchungsnr: 6177660;-32,91 EUR
10.10.2020;Netflix ltd.;Netflix;-17,99 EUR
11.10.2020;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r October;-19,99 EUR
12.10.2020;BK;Ihre Bestellung bei BK Rechnungsnummer: 3957230;-6,07 EUR
12.10.2020;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 6594960;-5,58 EUR
12.10.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 841861400;-5,9 EUR
14.10.2020;NOVA;Gehalt f�r Monat: October;2000 EUR
15.10.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.10.2020;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 6159904;-5,71 EUR
16.10.2020;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.10.2020;Walt Disney;Disney+;-17,99 EUR
19.10.2020;Paypal;Buchungsnr: 6791269;-30,15 EUR
21.10.2020;Netto;Rechnungsnr: 1538214;-178,57 EUR
21.10.2020;Oeffentlicher Personennahverkehr;Ihr Ticket: 868180265;-5,9 EUR
22.10.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
23.10.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 9639174;-6,0 EUR
24.10.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 1222284;-10,46 EUR
25.10.2020;Saturn;Buchungsnr: 6189991;-79,52 EUR
29.10.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
29.10.2020;Paypal;Buchungsnr: 6477056;-32,42 EUR
31.10.2020;Aldi;Rechnungsnr: 1289195;-184,43 EUR
31.10.2020;Aral;Giro Card Transaktion: 542286137;-29,85 EUR
01.11.2020;Mietskaserne am R�benacker;Miete f�r Monat: November;-750 EUR
01.11.2020;BK;Ihre Bestellung bei BK Rechnungsnummer: 8755691;-10,04 EUR
01.11.2020;Zoll;Ihre KFZ Steuer f�r das Kennzeichen: ABC - 1234;-52 EUR
01.11.2020;Norddeutscher Rundfunk;Rundfunkbeitrag f�r November;-18,36 EUR
02.11.2020;VHV;Privathaftpflicht;-4,5 EUR
03.11.2020;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.11.2020;NP;Rechnungsnr: 9782343;-104,26 EUR
04.11.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
07.11.2020;Otto;Buchungsnr: 3870690;-171,47 EUR
08.11.2020;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 2614108;-6,89 EUR
09.11.2020;Jet;Giro Card Transaktion: 848415203;-40,32 EUR
10.11.2020;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 2805448;-10,66 EUR
10.11.2020;Netflix ltd.;Netflix;-17,99 EUR
11.11.2020;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r November;-19,99 EUR
11.11.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
12.11.2020;Denns;Rechnungsnr: 1326925;-154,88 EUR
13.11.2020;Paypal;Buchungsnr: 1435034;-76,38 EUR
14.11.2020;NOVA;Gehalt f�r Monat: November inkl. Sonderzahlung;3740,0 EUR
15.11.2020;BK;Ihre Bestellung bei BK Rechnungsnummer: 6092409;-6,04 EUR
16.11.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 6378498;-11,04 EUR
16.11.2020;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.11.2020;Denns;Rechnungsnr: 7541940;-110,84 EUR
18.11.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.11.2020;Walt Disney;Disney+;-17,99 EUR
18.11.2020;Apollo;Apollo Eintritt Giro Card Transaktion: 629461991;-19,5 EUR
19.11.2020;BK;Ihre Bestellung bei BK Rechnungsnummer: 7001464;-5,47 EUR
21.11.2020;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 8941270;-10,75 EUR
23.11.2020;Paypal;Buchungsnr: 3506458;-75,15 EUR
25.11.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
26.11.2020;Lidl;Rechnungsnr: 8495429;-107,02 EUR
26.11.2020;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 3357448;-9,45 EUR
28.11.2020;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 4924876;-24,9 EUR
28.11.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 4568430;-6,72 EUR
01.12.2020;Mietskaserne am R�benacker;Miete f�r Monat: December;-750 EUR
01.12.2020;Norddeutscher Rundfunk;Rundfunkbeitrag f�r December;-18,36 EUR
02.12.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 7101012;-10,11 EUR
02.12.2020;VHV;Privathaftpflicht;-4,5 EUR
03.12.2020;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.12.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
03.12.2020;Athenopolis;Bis zum n�chsten Mal! Athenopolis Rechnungsnummer: 9297;-19,3 EUR
05.12.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 4585368;-10,28 EUR
08.12.2020;Otto;Buchungsnr: 5421218;-451,0 EUR
10.12.2020;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 5297014;-24,9 EUR
10.12.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.12.2020;Netflix ltd.;Netflix;-17,99 EUR
11.12.2020;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r December;-19,99 EUR
12.12.2020;Edeka;Rechnungsnr: 6618433;-108,85 EUR
14.12.2020;NOVA;Gehalt f�r Monat: December;2000 EUR
14.12.2020;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 9526005;-10,34 EUR
16.12.2020;BP;Giro Card Transaktion: 118170059;-86,49 EUR
16.12.2020;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.12.2020;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.12.2020;Lidl;Rechnungsnr: 7316214;-62,72 EUR
18.12.2020;Walt Disney;Disney+;-17,99 EUR
19.12.2020;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 3271203;-10,47 EUR
19.12.2020;BK;Ihre Bestellung bei BK Rechnungsnummer: 8964201;-11,04 EUR
